"","species","time_length","phenochange","min","max","rowid","names","names2"
"10",10,5,-0.0100485284367006,-0.365634544992488,0.337178650600587,10,5.1,5.1
"1",1,5,-0.046717898910073,-0.443872106355889,0.300607810409275,1,5.1,5.105
"11",11,5,0.00962460267744796,-0.334414207734729,0.383486250814833,11,5.11,5.11
"12",12,5,0.0198250121968093,-0.260920179980017,0.319664929803195,12,5.12,5.12
"13",13,5,0.0574490577869721,-0.252912049990857,0.428232605661511,13,5.13,5.13
"14",14,5,-0.0597123118656006,-0.435705083150749,0.261125554056496,14,5.14,5.14
"15",15,5,-0.102018924324181,-0.497075941139148,0.187662272786796,15,5.15,5.15
"16",16,5,-0.0193205133195163,-0.395087874339763,0.359871536706025,16,5.16,5.16
"17",17,5,0.0512817342155294,-0.244903996554496,0.414846806997039,17,5.17,5.17
"18",18,5,-0.0254058103397078,-0.311948603439358,0.250896361440165,18,5.18,5.18
"19",19,5,0.0295896160797818,-0.293414793661037,0.393699633989891,19,5.19,5.19
"20",20,5,-0.0398619512679523,-0.430081561629626,0.312052225403312,20,5.2,5.2
"2",2,5,0.0177734554487291,-0.329887512293444,0.410659682149918,2,5.2,5.205
"21",21,5,0.0840413225300104,-0.207380197779025,0.4732158543449,21,5.21,5.21
"22",22,5,0.0547684355559738,-0.251323381487552,0.431398706806875,22,5.22,5.22
"23",23,5,-0.0301150596092813,-0.395405938972728,0.315269262731228,23,5.23,5.23
"24",24,5,-0.0265815690451125,-0.351586518209963,0.277762701968343,24,5.24,5.24
"25",25,5,-0.0329174984847931,-0.397050369401701,0.29992054072039,25,5.25,5.25
"26",26,5,-0.0322878270781164,-0.372603789140548,0.281208666756835,26,5.26,5.26
"27",27,5,-0.00117047683682644,-0.370877785556126,0.380805899016497,27,5.27,5.27
"28",28,5,0.0457884313948647,-0.300385966373565,0.476810929312327,28,5.28,5.28
"29",29,5,-0.0458896850920598,-0.429952343522548,0.298468577227944,29,5.29,5.29
"30",30,5,0.0855342597311038,-0.218413689547132,0.506393955051371,30,5.3,5.3
"3",3,5,0.0537157245393194,-0.259163063966824,0.461538991537676,3,5.3,5.305
"31",31,5,0.0042657169035224,-0.328215303853412,0.35162894901459,31,5.31,5.31
"32",32,5,-0.0108994244430154,-0.387255394425058,0.355867758051848,32,5.32,5.32
"33",33,5,-0.145111468433566,-0.607558480073195,0.152728856799295,33,5.33,5.33
"34",34,5,0.0733381492781572,-0.222370710159445,0.463515461964614,34,5.34,5.34
"35",35,5,-0.0120941051696115,-0.359576818377731,0.335013955268266,35,5.35,5.35
"36",36,5,0.0289517463239182,-0.27955003840224,0.383652504312452,36,5.36,5.36
"37",37,5,0.0195645383614128,-0.321837207040789,0.402713829936841,37,5.37,5.37
"38",38,5,-0.0337191741731706,-0.422742872680411,0.329581882968669,38,5.38,5.38
"39",39,5,0.0024616239287691,-0.361176813914676,0.386460115799907,39,5.39,5.39
"40",40,5,-0.0493785236576637,-0.421340884984778,0.278107118892921,40,5.4,5.4
"4",4,5,-0.0411966928893765,-0.415715422004709,0.305805152546154,4,5.4,5.405
"41",41,5,0.00844012877929072,-0.33064175392568,0.382512969923248,41,5.41,5.41
"42",42,5,0.050844475578447,-0.269500391334048,0.436448263317158,42,5.42,5.42
"43",43,5,-0.00987905792094146,-0.388049613033821,0.371962031151259,43,5.43,5.43
"44",44,5,0.0550107115504009,-0.249286799202809,0.44079743011095,44,5.44,5.44
"45",45,5,-0.0487221448024063,-0.428012649459047,0.284308689604003,45,5.45,5.45
"46",46,5,0.0452739341263668,-0.282372264435134,0.444198000450692,46,5.46,5.46
"47",47,5,0.00489100035132963,-0.345515679923714,0.376672976293998,47,5.47,5.47
"48",48,5,-0.110974972524146,-0.504817249404218,0.17658130439655,48,5.48,5.48
"49",49,5,-0.00179713549497795,-0.317052559782658,0.323448866738817,49,5.49,5.49
"50",50,5,0.037863945057575,-0.301045534019677,0.448466532065149,50,5.5,5.5
"5",5,5,-0.105789311784708,-0.529974743293781,0.204878380976026,5,5.5,5.505
"51",51,5,0.0667545229984279,-0.222054699766926,0.433699251164098,51,5.51,5.51
"52",52,5,0.0144362612720467,-0.283332664799875,0.327384728515557,52,5.52,5.52
"53",53,5,-0.0140908287005895,-0.34284615130445,0.310635069886535,53,5.53,5.53
"54",54,5,-0.017376111904263,-0.361736776380838,0.316744445272394,54,5.54,5.54
"55",55,5,-0.0665746795696306,-0.447994718761437,0.25303349057185,55,5.55,5.55
"56",56,5,-0.0643569666673344,-0.448628140528571,0.250741013563579,56,5.56,5.56
"57",57,5,0.00571579103655599,-0.34842676136087,0.38436210478274,57,5.57,5.57
"58",58,5,-0.0944368421917957,-0.445995874436109,0.174104947371353,58,5.58,5.58
"59",59,5,-0.0617893535340246,-0.435475843544763,0.253311061629751,59,5.59,5.59
"60",60,5,0.0162944320653414,-0.310033756058389,0.374133309456048,60,5.6,5.6
"6",6,5,0.00581819325027026,-0.347389051689658,0.393395669144167,6,5.6,5.605
"61",61,5,0.0433256997645978,-0.282396156197164,0.438374555889503,61,5.61,5.61
"62",62,5,0.0500517474803879,-0.28677564887895,0.465017401942235,62,5.62,5.62
"63",63,5,-0.0500211408956979,-0.431299181889602,0.281884003980822,63,5.63,5.63
"64",64,5,0.105058238851607,-0.210132117670724,0.564992770975935,64,5.64,5.64
"65",65,5,-0.0427661713420301,-0.401661076465527,0.272509092736357,65,5.65,5.65
"66",66,5,-0.0470339278733085,-0.420053571866575,0.290158718375685,66,5.66,5.66
"67",67,5,-0.010749328117955,-0.325853395605147,0.307770168450919,67,5.67,5.67
"68",68,5,-0.0421911572776814,-0.433632760023859,0.294356665008384,68,5.68,5.68
"69",69,5,0.0516374615732076,-0.254492270793258,0.418492576381117,69,5.69,5.69
"70",70,5,0.0426032232529522,-0.28339603860131,0.451624211128775,70,5.7,5.7
"7",7,5,0.111211910638569,-0.155116678579827,0.480504190831327,7,5.7,5.705
"71",71,5,-0.216865000397837,-0.619490910463776,0.0593740589005878,71,5.71,5.71
"72",72,5,-0.0834858975298516,-0.519208885065819,0.243050978991589,72,5.72,5.72
"73",73,5,-0.0563025959912076,-0.412348844140639,0.24563230732574,73,5.73,5.73
"74",74,5,-0.0418339098711587,-0.402728096706145,0.282679475096729,74,5.74,5.74
"75",75,5,-0.0915300070691717,-0.489475461368844,0.209422973296841,75,5.75,5.75
"76",76,5,-0.0113677457062642,-0.370659187661192,0.34880569821023,76,5.76,5.76
"77",77,5,-0.036213205303823,-0.413093707415641,0.304688691315559,77,5.77,5.77
"78",78,5,0.0446766008884289,-0.291986750668928,0.435472935458255,78,5.78,5.78
"79",79,5,-0.000104489263268119,-0.358061082370273,0.388016036550033,79,5.79,5.79
"80",80,5,0.0400051265497761,-0.259405622231063,0.391967760798594,80,5.8,5.8
"8",8,5,0.0185377423960912,-0.300563132478522,0.379572468733103,8,5.8,5.805
"81",81,5,0.0711110751887341,-0.236102685296194,0.473553256871334,81,5.81,5.81
"82",82,5,0.025597482221579,-0.27859443879767,0.372188267816208,82,5.82,5.82
"83",83,5,-0.0472597608676574,-0.428801955970036,0.294546700617745,83,5.83,5.83
"84",84,5,-0.0156960645170248,-0.353989906254863,0.325397747829994,84,5.84,5.84
"85",85,5,-0.0256394853072248,-0.394636923571362,0.317941464577833,85,5.85,5.85
"86",86,5,0.0388406931683534,-0.24694558165737,0.366913802804614,86,5.86,5.86
"87",87,5,0.00301881083329134,-0.326166720392748,0.349628862753892,87,5.87,5.87
"88",88,5,-0.0582357936999428,-0.42045270246323,0.253796849129726,88,5.88,5.88
"9",9,5,-0.0249162075186992,-0.400857153136768,0.337644152189627,9,5.9,5.905
"98",10,10,0.0152461672836773,-0.159868581000479,0.168878209938841,98,10.1,10.1
"89",1,10,0.00428962997306848,-0.192546799070082,0.151421334514222,89,10.1,10.105
"99",11,10,0.0333884946942883,-0.122648962552318,0.20509682290805,99,10.11,10.11
"100",12,10,0.0244294544680907,-0.149392332116335,0.196935283129089,100,10.12,10.12
"101",13,10,-0.00995453341261214,-0.221526907084747,0.127207241549881,101,10.13,10.13
"102",14,10,0.0100841152390264,-0.174258590844968,0.16164297923169,102,10.14,10.14
"103",15,10,0.0319007529140614,-0.133768610203103,0.211212021745868,103,10.15,10.15
"104",16,10,-0.0192552832341659,-0.261559686413601,0.121304391328666,104,10.16,10.16
"105",17,10,0.0253175611011744,-0.138772068337719,0.184590728858081,105,10.17,10.17
"106",18,10,0.0337273704515616,-0.132625451227234,0.220690104640222,106,10.18,10.18
"107",19,10,0.0520937842899184,-0.0925875278837043,0.256875469228444,107,10.19,10.19
"108",20,10,0.0078586545184674,-0.191203782034176,0.167121279127396,108,10.2,10.2
"90",2,10,0.044802295529423,-0.105889957182331,0.235868280985147,90,10.2,10.205
"109",21,10,0.0100501759310122,-0.181444532359843,0.167678964270343,109,10.21,10.21
"110",22,10,0.0248971594515481,-0.146038873076943,0.195162078874099,110,10.22,10.22
"111",23,10,-0.00737926627429754,-0.223775266784683,0.133769794851846,111,10.23,10.23
"112",24,10,0.0189888504673754,-0.164107252077147,0.187022062835351,112,10.24,10.24
"113",25,10,-0.0175091370527455,-0.250245854137155,0.120832540123341,113,10.25,10.25
"114",26,10,0.00902972128635366,-0.178637810905821,0.161432297316813,114,10.26,10.26
"115",27,10,0.020467558197677,-0.160720233449657,0.190189942585565,115,10.27,10.27
"116",28,10,0.0521701863352742,-0.0874314512703452,0.247122718452943,116,10.28,10.28
"117",29,10,0.0161903701405502,-0.164008923223358,0.174794634340918,117,10.29,10.29
"118",30,10,0.0260158896392978,-0.140729152063055,0.194810956788344,118,10.3,10.3
"91",3,10,0.0253439001581551,-0.137709751840468,0.186388166275396,91,10.3,10.305
"119",31,10,0.00654049706312894,-0.183465701801955,0.152542443223914,119,10.31,10.31
"120",32,10,0.0403857224150284,-0.118722091270529,0.230097696838414,120,10.32,10.32
